time,L_HUMAN,inference_compute,experiment_compute,training_compute
2017.0,36.61424646,0.7922586137,14.73601022,21.42570325
2018.0,46.500093,2.368865164,42.63957294,22.11309184
2019.0,59.05511811,7.372574389,132.706339,22.70721118
2020.0,75,24.11105106,433.9989191,23.30495212
2021.0,95.25,84.21052632,1431.578947,23.9183173
2022.0,120.9675,310,5270,24.54774404
2023.0,182.6,1268,20288,25.19216998
2024.0,415,6383.230887,89365.23242,25.84396825
2025.0,1037.5,24283.24622,305968.9024,26.48621697
2026.0,2593.75,103664.8207,1036648.207,27.08316889
